,Rk,Unnamed: 1,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Sam Cassell,33,78,77,2700,7.3,15.5,0.47,0.8,2.2,0.362,6.5,13.3,0.487,5.1,6.0,0.861,0.8,3.8,4.6,6.0,1.2,0.2,2.4,2.9,20.5
1,2,Tim Thomas,25,80,70,2358,6.3,14.2,0.443,1.5,4.0,0.366,4.8,10.2,0.474,2.2,2.8,0.78,1.5,4.5,5.9,1.6,1.1,0.7,2.0,3.9,16.3
2,3,Michael Redd,23,82,14,2316,7.1,15.1,0.469,2.8,6.5,0.438,4.2,8.6,0.492,2.3,2.9,0.805,1.5,4.2,5.8,1.8,1.6,0.2,1.2,2.2,19.3
3,4,Anthony Mason,36,65,58,2119,3.2,6.7,0.486,0.0,0.0,0.0,3.2,6.7,0.487,1.4,2.0,0.718,1.5,5.5,7.1,3.6,0.5,0.2,1.3,2.5,7.9
4,5,Toni KukoÄ,34,63,0,1704,5.3,12.2,0.432,2.0,5.6,0.361,3.3,6.6,0.49,2.9,4.1,0.706,1.4,4.2,5.6,4.9,1.7,0.6,2.6,2.8,15.4
5,6,Ray Allen,27,47,46,1683,7.5,17.2,0.437,2.6,6.7,0.395,4.9,10.5,0.463,3.8,4.2,0.913,1.0,3.7,4.7,3.5,1.2,0.2,2.5,3.2,21.5
6,7,Ervin Johnson,35,69,17,1170,1.9,4.2,0.452,0.0,0.0,,1.9,4.2,0.452,0.9,1.4,0.682,3.6,5.4,9.0,0.7,1.0,1.9,1.0,5.5,4.7
7,8,Kevin Ollie,30,53,4,1127,3.7,8.1,0.459,0.0,0.2,0.2,3.7,8.0,0.464,2.2,2.9,0.747,0.4,2.8,3.2,5.8,1.2,0.1,1.1,2.3,9.7
8,9,Gary Payton,34,28,28,1085,7.3,15.7,0.466,0.7,2.3,0.294,6.7,13.5,0.495,2.9,3.9,0.746,0.8,2.1,2.9,6.8,1.3,0.3,1.9,2.1,18.2
9,10,Desmond Mason,25,28,25,952,6.3,13.2,0.474,0.2,0.6,0.294,6.1,12.6,0.483,2.9,3.9,0.765,2.5,4.6,7.1,2.6,0.8,0.4,1.6,2.8,15.7
10,11,Jason Caffey,29,51,16,894,4.6,10.0,0.456,0.0,0.0,,4.6,10.0,0.456,2.8,4.3,0.651,2.7,4.3,7.1,1.5,0.8,0.6,2.3,4.9,11.9
11,12,Dan Gadzuric,24,49,30,760,3.3,6.9,0.483,0.0,0.0,0.0,3.3,6.8,0.486,1.4,2.7,0.518,3.1,6.2,9.3,0.4,1.0,2.5,1.3,5.9,8.0
12,13,Joel Przybilla,23,32,17,546,1.2,3.0,0.391,0.0,0.0,,1.2,3.0,0.391,0.8,1.6,0.5,3.2,6.4,9.6,0.8,0.7,3.0,1.3,5.6,3.2
13,14,Marcus Haislip,22,39,8,441,5.4,12.5,0.431,0.2,1.0,0.25,5.1,11.5,0.447,2.1,3.1,0.684,1.7,2.6,4.3,0.7,0.6,1.5,1.7,4.5,13.1
14,15,Ronald Murray,23,12,0,42,7.7,22.3,0.346,0.0,3.4,0.0,7.7,18.9,0.409,4.3,6.9,0.625,0.0,0.9,0.9,2.6,3.4,0.0,3.4,0.0,19.7
15,16,Jamal Sampson,19,5,0,8,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,,4.5,4.5,9.0,4.5,4.5,0.0,0.0,0.0,0.0
