,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves
,Rk,Unnamed: 1_level_1,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#
0,1,Ray Allen,24,82,3070,0.455,15.1,,0.712,0.195,0.128,0.223,0.166,0.288,,0.468,0.596,0.414,0.417,0.427,0.423,,0.421,0.855,,0.043,54,,0.273,0.459,,12,0
1,2,Glenn Robinson,27,81,2909,0.472,14.0,,0.838,0.113,0.153,0.352,0.22,0.162,,0.493,0.594,0.435,0.479,0.506,0.363,,0.659,0.953,,0.025,32,,0.329,0.346,,1,0
2,3,Sam Cassell,30,81,2899,0.466,13.4,,0.923,0.158,0.111,0.379,0.274,0.077,,0.481,0.589,0.4,0.459,0.48,0.289,,0.237,0.615,,0.0,0,,0.189,0.471,,3,0
3,4,Ervin Johnson,32,80,2129,0.516,6.2,,0.996,0.53,0.341,0.1,0.025,0.004,,0.518,0.642,0.453,0.143,0.286,0.0,,0.535,,,0.129,32,,1.0,0.0,,0,0
4,5,Tim Thomas,22,80,2093,0.461,12.9,,0.758,0.29,0.174,0.169,0.126,0.242,,0.497,0.674,0.435,0.331,0.4,0.346,,0.627,0.952,,0.1,68,,0.374,0.382,,1,0
5,6,Scott Williams,31,68,1488,0.5,9.5,,1.0,0.291,0.249,0.312,0.148,0.0,,0.5,0.718,0.396,0.398,0.46,,,0.695,,,0.106,42,,,,,0,0
6,7,Danny Manning,33,72,1217,0.44,11.0,,0.988,0.212,0.221,0.345,0.209,0.012,,0.442,0.75,0.36,0.368,0.338,0.25,,0.743,1.0,,0.012,4,,0.5,0.5,,1,0
7,8,Vinny Del Negro,33,67,1211,0.471,15.5,,0.926,0.065,0.071,0.302,0.489,0.074,,0.482,0.667,0.348,0.429,0.509,0.333,,0.697,0.875,,0.0,0,,0.417,0.4,,0,0
8,9,Darvin Ham,26,35,792,0.555,6.5,,0.992,0.719,0.164,0.07,0.039,0.008,,0.559,0.641,0.381,0.333,0.2,0.0,,0.62,,,0.32,37,,0.0,,,1,0
9,10,J.R. Reid,31,34,602,0.417,13.5,,0.945,0.087,0.197,0.394,0.268,0.055,,0.433,0.364,0.36,0.36,0.618,0.143,,0.75,1.0,,0.0,0,,0.143,0.0,,0,0
10,11,Robert Traylor,22,44,447,0.475,7.3,,0.967,0.443,0.418,0.066,0.041,0.033,,0.492,0.537,0.471,0.25,0.6,0.0,,0.655,,,0.205,19,,0.0,,,0,0
11,12,Rafer Alston,23,27,361,0.284,16.0,,0.853,0.116,0.116,0.221,0.4,0.147,,0.296,0.273,0.364,0.238,0.316,0.214,,0.583,1.0,,0.0,0,,0.571,0.375,,1,0
12,13,Dale Ellis,39,18,324,0.465,20.1,,0.356,0.089,0.02,0.079,0.168,0.644,,0.667,0.889,1.0,0.625,0.529,0.354,,0.833,1.0,,0.0,0,,0.385,0.36,,0,0
13,14,Haywoode Workman,34,23,248,0.371,18.1,,0.532,0.161,0.065,0.081,0.226,0.468,,0.364,0.5,0.0,0.2,0.429,0.379,,0.583,0.909,,0.0,0,,0.379,0.545,,0,0
14,15,Mirsad TÃ¼rkcan,23,10,65,0.429,13.7,,0.857,0.107,0.321,0.143,0.286,0.143,,0.5,0.667,0.222,0.75,0.625,0.0,,0.583,,,0.0,0,,0.5,0.0,,0,0
